jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
103,85,438,0.19550561797752808,0.0593607305936073,438,0.16541003329012946
123,38,375,0.10471204188481675,0.037333333333333336,375,0.08020373638963377
126,11,71,0.16666666666666666,0.028169014084507043,71,0.10285508594854405
133,24,75,0.3170731707317073,0.10666666666666667,75,0.235616361935461
136,137,774,0.17797695262483995,0.050387596899224806,774,0.15595544061220826
140,2268,5587,0.4057919199141938,0.16645784857705387,5587,0.3950128414211095
142,26,57,0.4375,0.14035087719298245,57,0.33731768407700014
163,7,31,0.23684210526315788,0.0967741935483871,31,0.1331810996434859
164,173,742,0.2336448598130841,0.07142857142857142,742,0.2086384043368479
166,74,234,0.3153526970954357,0.09401709401709402,234,0.2670959106428863
171,680,3631,0.1874656404617922,0.04957312035251997,3631,0.17692214177529275
223,7,41,0.1875,0.04878048780487805,41,0.10370178631317498
229,42,252,0.16988416988416988,0.047619047619047616,252,0.13307155816329613
246,3,4,0.45454545454545453,0.0,4,0.22244110100812936
252,16,142,0.12080536912751678,0.04225352112676056,142,0.08010268077768008
254,100,344,0.2905982905982906,0.11918604651162791,344,0.2514748840985486
281,56,120,0.4566929133858268,0.15833333333333333,120,0.38462477750429686
298,657,2095,0.31351094196003804,0.10501193317422435,2095,0.29697196992357827
299,64,354,0.18282548476454294,0.059322033898305086,354,0.1504330150782549
301,1,9,0.1875,0.0,9,0.05684686759024681
307,364,1826,0.19967266775777415,0.05750273822562979,1826,0.18450667605830587
342,23,80,0.28735632183908044,0.0375,80,0.21083720576575607
348,15,58,0.26153846153846155,0.06896551724137931,58,0.17686135241531703
349,207,959,0.2163561076604555,0.06986444212721585,959,0.19491357086525032
358,14,95,0.1568627450980392,0.010526315789473684,95,0.10196358901958465
367,1623,4484,0.361834780672456,0.14183764495985726,4484,0.3500765454157052
370,61,226,0.2703862660944206,0.09292035398230089,226,0.2237611952301134
377,7,19,0.34615384615384615,0.10526315789473684,19,0.20237777985466227
382,21,130,0.1678832116788321,0.06153846153846154,130,0.11842950578274528
392,606,2906,0.2087195331273601,0.06366139022711631,2906,0.1964508784359775
393,4,26,0.18181818181818182,0.0,26,0.0849545350879446
395,129,589,0.2197986577181208,0.05602716468590832,589,0.19246278086538632
396,16,154,0.11180124223602485,0.025974025974025976,154,0.0739868292451744
397,1,34,0.07317073170731707,0.0,34,0.020753601475701208
400,8,32,0.2564102564102564,0.0625,32,0.15028202347670996
403,7,50,0.15789473684210525,0.0,50,0.08648636670514005
405,13,75,0.18292682926829268,0.04,75,0.1177573767423144
408,0,15,0.09090909090909091,0.0,15,0.01719099663247961
409,92,572,0.16234887737478412,0.05244755244755245,572,0.13783998206777143
410,31,245,0.13095238095238096,0.04081632653061224,245,0.09780273056369218
411,0,16,0.08695652173913043,0.0,16,0.01639751631348414
413,0,14,0.09523809523809523,0.0,14,0.018065203085418632
414,1,17,0.125,0.0,17,0.03651529972590258
417,1,12,0.15789473684210525,0.0,12,0.04702488429256185
418,0,25,0.0625,0.0,25,0.011585315861443594
419,0,1,0.25,0.0,1,0.05337550047023718
421,2,22,0.13793103448275862,0.0,22,0.050308172220812734
422,3725,13435,0.2772652879035858,0.10018608113137328,13435,0.27093352678173643
423,3,68,0.06666666666666667,0.0,68,0.026999033540736874
424,4,36,0.13953488372093023,0.0,36,0.06409134273620848
426,38,305,0.1282051282051282,0.022950819672131147,305,0.09853029155494604
429,2,28,0.11428571428571428,0.03571428571428571,28,0.04119952944789624
431,12,70,0.18181818181818182,0.05714285714285714,70,0.11494485994162833
432,902,2251,0.4003542958370239,0.16525988449577966,2251,0.38344748275876134
433,0,3,0.2,0.0,3,0.041023167506996534
434,1,2,0.3333333333333333,0.0,2,0.1111127066076292
436,3,11,0.2777777777777778,0.18181818181818182,11,0.12377091476954695
438,0,6,0.15384615384615385,0.0,6,0.030460165659137187
439,12,65,0.19444444444444445,0.03076923076923077,65,0.12333213459416548
441,1,9,0.1875,0.0,9,0.05684686759024681
443,19,151,0.13291139240506328,0.046357615894039736,151,0.09141022177435344
444,19,94,0.2079207920792079,0.07446808510638298,94,0.14524480797807213
501,25,181,0.14361702127659576,0.027624309392265192,181,0.10390995563000537
503,1198,3812,0.31421838177533384,0.10676810073452256,3812,0.30191980535544516
504,507,2041,0.24853515625,0.08525232729054386,2041,0.23297168303840396
513,32,233,0.14166666666666666,0.02145922746781116,233,0.10648571147910157
522,21,195,0.11386138613861387,0.02564102564102564,195,0.0794811497598155
523,70,307,0.22929936305732485,0.0749185667752443,307,0.19133681762960403
526,16,225,0.07758620689655173,0.02666666666666667,225,0.050967227325066124
527,13,69,0.19736842105263158,0.028985507246376812,69,0.12751616896395876
535,24,78,0.3058823529411765,0.08974358974358974,78,0.2267817828337524
537,598,2826,0.21178962230850687,0.06227883934890304,2826,0.19928193494692611
540,23,130,0.18248175182481752,0.046153846153846156,130,0.13114240887167894
542,18,197,0.09803921568627451,0.02030456852791878,197,0.06625245470726769
543,34,240,0.145748987854251,0.03333333333333333,240,0.1105876779723069
544,359,1267,0.28335949764521196,0.08366219415943173,1267,0.262795226919174
545,3,52,0.0847457627118644,0.019230769230769232,52,0.034583975143739745
557,29,138,0.21379310344827587,0.043478260869565216,138,0.16029572401175604
559,259,1413,0.18380281690140846,0.05024769992922859,1413,0.16715831885740282
