father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
A. P. Warrior,0.24,0.11491057056434226,0.25,0.25
A.P. Indy,0.2819767441860465,0.25414252667823106,0.28034682080924855,0.2822822822822823
A.P.Indy,0.25,0.05337550047023718,0.25,0.25
Abel Prospect,0.3055555555555556,0.18729874031916338,0.2222222222222222,0.3235294117647059
Acatenango,0.3157894736842105,0.15634363948365287,0.35714285714285715,0.25
Acclamation,0.17647058823529413,0.05314598448266387,0.18181818181818182,0.23076923076923078
Action This Day,0.1320754716981132,0.06492283466368858,0.14285714285714285,0.17857142857142858
Adios Charlie,0.1951219512195122,0.103606055427801,0.16666666666666666,0.2222222222222222
Adlerflug,0.16666666666666666,0.033319217684229845,0.16666666666666666,0.16666666666666666
Admire Don,0.1891891891891892,0.09499448663954843,0.18181818181818182,0.21875
Admire Moon,0.14285714285714285,0.02805337732017585,0.14285714285714285,0.14285714285714285
Admire Vega,0.4411764705882353,0.30490957972873073,0.36666666666666664,0.5
Affirmed,0.29850746268656714,0.2354529910814439,0.24074074074074073,0.32075471698113206
Afleet,0.36929460580912865,0.31887558219727463,0.2549019607843137,0.46715328467153283
Afleet Alex,0.17567567567567569,0.10867697652641192,0.21052631578947367,0.1774193548387097
After Market,0.3103448275862069,0.17907700513471883,0.25,0.32142857142857145
Afternoon Deelites,0.266304347826087,0.21431524370302923,0.25333333333333335,0.27586206896551724
Agnes Tachyon,0.35294117647058826,0.17776585168758843,0.35294117647058826,0.35294117647058826
Agnes World,0.2727272727272727,0.15527756152988345,0.3076923076923077,0.25
Air Force Blue,0.20833333333333334,0.12023002731419564,0.11764705882352941,0.2631578947368421
Akarad,0.18181818181818182,0.03677143788746509,0.2222222222222222,0.2222222222222222
Al Kazeem,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Al Nasr,0.21621621621621623,0.11567352066097641,0.23333333333333334,0.21428571428571427
Al Wukair,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
Aldebaran,0.3977272727272727,0.3136768318445804,0.35714285714285715,0.4358974358974359
