win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.1,1.0,7.0,15.0,43,4,-0.1744186046511628,822500.0,20,1,-0.64,889200.0
0.12,1.0,7.0,15.0,43,4,-0.1744186046511628,822500.0,20,1,-0.64,889200.0
0.12,1.2,7.0,15.0,36,3,-0.225,821900.0,16,1,-0.55,893200.0
0.1,1.2,7.0,15.0,36,3,-0.225,821900.0,16,1,-0.55,893200.0
0.15,1.1,7.0,15.0,26,2,-0.3346153846153846,821300.0,12,1,-0.4,897200.0
0.15,1.2,7.0,15.0,26,2,-0.3346153846153846,821300.0,12,1,-0.4,897200.0
0.15,1.0,7.0,15.0,26,2,-0.3346153846153846,821300.0,12,1,-0.4,897200.0
0.1,2.0,5.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.12,2.0,5.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.12,2.0,3.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.15,2.0,3.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.15,2.0,5.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.1,2.0,3.0,15.0,24,2,-0.36666666666666664,821200.0,10,1,-0.28,899200.0
0.1,1.3,10.0,15.0,20,1,-0.47,820600.0,8,0,-1.0,894000.0
0.12,1.2,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.12,1.0,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.12,1.1,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.1,1.1,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.12,1.3,10.0,15.0,20,1,-0.47,820600.0,8,0,-1.0,894000.0
0.1,1.0,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.1,1.2,10.0,15.0,20,1,-0.47,820600.0,9,0,-1.0,893000.0
0.15,2.0,7.0,15.0,19,1,-0.5157894736842106,820200.0,9,1,-0.2,900200.0
0.1,2.0,7.0,15.0,19,1,-0.5157894736842106,820200.0,9,1,-0.2,900200.0
0.12,2.0,7.0,15.0,19,1,-0.5157894736842106,820200.0,9,1,-0.2,900200.0
0.12,1.1,7.0,15.0,38,3,-0.2657894736842105,819900.0,17,1,-0.5764705882352941,892200.0
0.1,1.1,7.0,15.0,38,3,-0.2657894736842105,819900.0,17,1,-0.5764705882352941,892200.0
0.15,1.2,7.0,20.0,29,2,-0.40344827586206894,818300.0,16,1,-0.55,893200.0
0.15,1.1,7.0,20.0,29,2,-0.40344827586206894,818300.0,16,1,-0.55,893200.0
0.15,1.0,7.0,20.0,29,2,-0.40344827586206894,818300.0,16,1,-0.55,893200.0
0.15,2.0,5.0,20.0,27,2,-0.43703703703703706,818200.0,14,1,-0.4857142857142857,895200.0
0.15,2.0,3.0,20.0,27,2,-0.43703703703703706,818200.0,14,1,-0.4857142857142857,895200.0
0.15,1.3,10.0,15.0,12,0,-1.0,818000.0,5,0,-1.0,897000.0
0.15,1.4,10.0,15.0,12,0,-1.0,818000.0,5,0,-1.0,897000.0
